quechua,spanish
wawakunaqa chayhinata waqanku wiksanku nanaqtinmi,las criaturas lloran de esa manera cuando tienen dolor de estómago
"turukunaqa ishkay waqrayuqmi ,  tarukakuna ichaqa tawa waqrayuq kanku","los toros poseen dos cuernos ,  en cambio los venados tienen cuatro"
uywataqa allin ichhupi yakuq kasqanpin wataramunki,"amarrarás al caballo en la paja ,  donde haya buen pastizalagua"
¿ manachu winkuwan aqhataqa rakiwaq ?,¿ no podrías distribuir la chicha con el huinco ?
lawakunataqa k'aspi wisllawan qaywispakama wayk'una,la mazamorra hay que cocinarla removiéndola constantemente con un cucharón de palo
"wasaymi anchata nanawan ,  yachaqwan kukata qhawachikamusaq",tengo dolores fuertísimos en la espalda; iré donde la persona que lee la coca
mamaymi wayk´uyta yachachiwan,mi mamá me enseñacocinar
yoniqa ñawinchayta yanapawan,yony me ayudaleer
hawa llaqtakunapiqa imatapas yanapanakuspapuni ruwanchis,en las comunidades rurales siempre realizamos cualquier trabajo ayudándonos los unoslos otros
wawakuna: paqarinpaqqa kay phishqa yapaykunata ruramunkichis,niños: para mañana resolverán estas cinco sumas
kaypi suyay niwanku,me han dicho que espere aquí
mana ima nisqantapas yachanichu,no entiendo lo que dice
kimsa rikra wayitamantam kay warataqa sirapuwanku,este pantalón me lo cosieron de tres brazadas de bayeta
inka awkikunaqa yachaysapataq kallpasapataq karanku,los auquis de la época de los incas fueron muy sabiosforzudos
mana allin kawsaykuna kaqtinqa awkinchiskunata tapurikusunchis,frentelas fatalidades de la vida consultemosnuestros ancianos
"mana para kanchu ,  apukunatacha phiñarachinku","hay mucha sequía ,  seguramente han ofendidolos espíritus de los cerros"
ayrampu ruru hampi unuqa tukuy onqoy hampinapaqmi allin,el mate del fruto del airampo es bueno para curar muchas enfermedades
noqaqa sara hinallataq mashwa chakrayuqmi kani,yo soy propietario de chacras de maízde mashua
phushkasqaymantaqa chanintan haywaripuwan,por mi trabajo de hilado me pagaron lo justo
paqonchiskunaqa mamaniq llamankunawanmi chapurakapusqa,nuestras alpacas se habían mezclado con las llamas de los mamani
nishuta ruphaykamushan icha tutaykuymanqa chikchiramunqa,está soleando muy fuerte; seguramente más tarde ha de granizar
wayna pikchu orqoqa huk chuqupi tukun,el cerro huayna picchu termina en un cono mochado
uywaqa ishkay llamaq q'epinantan apan,un caballo carga lo que pueden llevar dos llamas
kuchuq kiruqa aycha kuchunapaq,los incisivos sirven para cortar la carne
kay p'ukupi chay uchukutata churamuy,recoge el ají molido en este platito
manarami mana sasa ashkha runapi infección hap´iyta yachaykuchu,ni siquiera sabemos lo fácil que es capturar una infección en una multitud
ñawpaqqa thanta p'achakunallan t'oqoyuq karan,antes solamente la ropa vieja tenía agujeros
raphikunataqa k´ashkachinawanmi kikinpura k´askachikun,las hojas de papel se pegan entre sí con engrudo
nishu q'eshwasqa q'aytuqa osqhayllan p´itikun,el hilo muy torcido se rompe muy fácilmente
lliw llaqtan paqarin huñunakuymanqa rinan,toda la población tiene que concurrir mañanala asamblea
wakin uywakunaqa tawa chakiyuqmi,algunos animales tienen cuatro patas
qella warmakunaqa millayllatañan seq'eta ruwarusqaku,los niños ociosos hicieron dibujos feos
k'aytuqa nishu wata watallañan kashan,el hilo está lleno de nudos
k'aspimanta ñaqch'aqa ruwakuyta atikunmanmi,pueden fabricarse peines de madera
suqta uyayuq pirwaqa machina sutiyuq,el cuerpo geométrico de seis caras se llama cubo
patuqa unupi tuytun,el pato nada en el agua
yachachiqniymi lapizwan seq'eta ruwachiwan,mi profesor me hace dibujar con lápiz
llink'i hallp´aqa resisqa tarinakunallapin kan,la arcilla plástica solamente se encuentra en lugares conocidos
wasi pachanqa rumiwanpunin ruwakun,la cimentación de las casas siempre se levanta de piedras
mankaq sikinqa phatarusqan,la base de la olla se había rajado
sikutaqa phukuspa waqachina,la zampoña se toca soplando
estados unidos runakunaqa inglés simita rimanku,los pobladores de los estados unidos hablan la lengua inglesa
mistikunaqa sunkhasapa niraqllapuni kanku,los mestizos generalmente son barbudos
alqokunqa wakakunata muyurispan kaninku,el perro rodea al ganado ladrando cada noche
paka mallkiqa tuqurupiqa misk'i unu kan,el árbol de la paca tiene agua en sus cañas
sara chakramantaqa qorakunata saphintinta wikhana,las malas hierbas deben ser arrancadas desde la raíz de las chacras de maíz
mana qaywisqa lawa mankaqa tiyaruspa rupharunmanmi,la olla de mazamorra que no se remueve puede asentarsequemarse
qhillqana raphita mamaywan rantichikusaq,me haré comprar cuadernos con mi mamá
mayu unu qoncho kaqtinqa qocha washwakunan k'uykakunata mikhun,"si las aguas de los ríos están muy turbias ,  entonces las gaviotas comen las lombrices de la tierra"
kunan qhepa waynakunaqa manañan lawitata t'oqyachiyta munankuñachu,los jovencitos de hoy ya no quieren ni tocar la quena
"inkaqa qerupin aqhap ñawinta tayta intiman t'inkaq ,  chaymi allin kawsaykuna chay watakunapiqa kaq",el rey inka asperjaba lo mejor de la chicha al padre soles por ello que durante esos años había buena cosecha
tupaq amaru kuraq taytanchisqa awqa runakunamanta qespichiyta munaspas noqanchisrayku wañuyninta tarisqa,nuestro héroe túpac amaru dicen que encontró la muerte por liberarnos de los explotadores
chay qochamantas kuraq tayta mamanchis manco qhapaqwan mama oqlluwan lluqsimuq kasqaku,dicen que nuestros primeros padres manco ccapacmama ocllo salieron de ese lago
qulli sach'aqa qheswar sach'aq yawar masinmi,el colli es pariente del quishuar
qolqesapa runaqa qorimanta otaq qolqe alakhamanta kirunta churachikun,la gente adinerada se hace colocar dientes de orode plata
espinar llaqtamanta santo tomás llaqtamanqa bellilli llaqtallantapuni rinchis,de espinarsanto tomás siempre tendremos que ir por velille
"qosqomanta santo tomasmantaq tinkuq chakanta ,  mana chayqa wallpa chakallantaña",del cuzcosanto tomás por el puente tincucde lo contrario por el puente huallpa chaca
ichhu chakantapas rillasunchismanmi,también podemos ir por el puente inca de paja
"chirimantapas ,  ruphaymantapas chhulli onqoyqa hap'illawanchismi",el catarro puede producirse tanto por exceso de frío como de calor
"aqowan ,  unuwan simintu qaywisqaqa utqayllan rumiyarqun","la mezcla de arena ,  aguacemento se petriįca muy rápidamente"
samán llaqta kayllapi huk orqo imarukus sutuyuq kan,cerca al pueblo de samán hay un cerro llamado imarrucos
k'ankaq mana sarusqan wallpaq runtunqa manas chiwchinmanchu,el huevo de la gallina que no ha sido fecundada por el gallo no genera vida
rurunninchisqa ashkha sankhachayyqkunan,nuestros riñones tienen muchos canalitos
mishk'i ruruq sach'akunaqa qowi akachawan wanuchasqan mishk'illataña rurun,las plantas fortaleciéndose con estiércol del cuy dan buenos frutos
paqarinmi cebadata kuchuchisun,mañana haremos segar la cebada
"wik'uñataqa manaraq paray pacha qallarishaqtinmi rutuna ,  chaymi millwanqa usqhaylla kutimunqa","las vicuñas deben ser esquiladas antes de la época de lluvias , fin de que su lana retoñe pronto"
sapanka wawan ishkay chakiyuq hinallataq ishkay makiyuq,cada niño tiene dos piesdos manos
phiña papallata mikhunki chayqa wiksaykin qolqolyan,"si comes solamente papa amarga ,  te suelta el estómago"
atiyniyuq inkaq warminqa qoyan kasqa,la esposa del todopoderoso inca fue la coya
kay q'aytuta ishkay ishkaymanta kuruy,ovíllame este hilo poniéndolo de dos
qasasqa ch'uñutaqa allinta saruspa ch'akichina; murayataqa mana sarunachu,la papa helada se pisase hace secar para obtener un buen chuño͖ en cambio la moraya no se pisa
ichaqa puñuspaqa mana imata ruwaspan samanchis,en cambio al dormirno hacer nada descansamos
runakunaqa kallpawan otaq umalawan llank'aspapas pisipanchismi,"sea con un trabajo intelectualcon un trabajo físico ,  los hombres siempre nos cansamos"
iskay sikyaqa huk rikram,dos varas constituyen una brazada
chumpi watutaqa tawa q'aytumantan otaq aswan mas ashkhamantapas q'eshwakunmi,los pasadores de las fajas pueden trenzarse de cuatrode más hilos
ñawpa warmi qharikunaqa ashka simp´ayuqsi kasqaku,"los antiguos canas ,  hombresmujeres ,  dicen que usaban varias trenzas"
huñunasqa rimaypiqa soqta simikuna tarikun,la oracion esta formada por ocho palabras
"waskhakunata mañariway ,  sach'akunatan wit'usaq","voytumbar árboles ,  préstame sogas"
alqokunataqa washkhawanmi seq'ona,al perro se le ahorca con una soguilla
siwara aqhaqa allinpunin ch'akiypaq,la chicha de la cebada es muy buena para apagar la sed
such'iq qaranqa wirallaña,la piel de los bagres es grasosísima
mistikunaqa sunkhasapapunin kanku,los mestizos generalmente son barbudos
chay rimasqan hawa maqanaykukunku,por motivo de ese comentario se pelearon
huk tawa k'uchuqa tawa k'uchuyuqmi,un cuadrado tiene cuatro lados
"chirapa niypas ,  k'uychi niypas kaqllan","da lo mismo decir chirapak'uychi ,  ambos significan el arco iris"
wanutaqa phishqa llamakunapin chakraman apasun,el abono vamostrasladarla chacra en cinco llamas
paqarinmi sunkhaytaqa rutukusaq,mañana me afeitaré los bigotes
"sanki ruru pallaypas ,  mikhuypas sasallañan",el cosechar como el comer sanqui es dii̇cil
llaqta amachaqpa llank'ayninta atiwaqmi mañakuyta,tiene derechosolicitar un abogado de oficio
amachakuqkunaq llank'ayninqa mana qolqellapaqmi,el abogado de oficio es gratis
manan amachaqman qopunaypaq qolqey kanchu,no tengo dinero para pagar un abogado
antarata waqachispam saqra tusuytaqa tusunku,la diablada la bailan tocando la zampoña
kuraq wawqeykiman kay qhelqata aparuy,"por favor ,  llévale este escritotu hermano mayor"
chakrayuqmi llank'aqninkunamanqa hunt'asqa papapi qopun,cada dueño de chacra paga al guardián un camellón de papas
wakaq ch'unchulninkunata churaspan atoqtaqa hap'inku,colocando las tripas (del ganado) en las trampas se coge al zorro
ayataqa nishuta waqayuspan aparqapunku,llorando mucho se llevaron al cadáver
challwa aychaqa ancha misk'ipuni,la carne del pescado es muy deliciosa
noqaqa kiswar pampa ayllumanta kani,yo soy de la comunidad de kishuar pampa
runakunaqa runakuna kanku runakuna kaynillankupi,los humanos son humanos solo en condiciones humanas
"anestesiapi ,  huk runa purin huk ch´usaq segundupi ,  mana imatapas llaminchu ,  mana imapipas musphanchu ,  mana imatapas yachanchu","bajo anestésico ,  un hombre se desplaza por una fracción de segundo en un vacío ,  sintiendo nada ,  pensando en nada ,  sin comprender nada"
"manan sasachakuytachu mashkashani ,  sasachakuymi noqata tariwan",no estoy buscando problemas; los problemas por lo general me encuentran
"chinkasqa runan kani; allin yuyayniyuqmi kallpayuqmi karani ,  ichaqa manan imatapas llaqtapaq ruwaranichu","soy un hombre/mujer perdido(a); tuve enormes capacidadesenergía ,  pero no hice nada por la civilización"
rakisqa cuadruta qhawasunchis,miremos el cuadro de distribución
raphi watuchi millay q´aya hamuqta nisqa; wasi qhepallapi wañuyqa pakakushan,las cartas del tarot se dispusieron en una profecía ominosa; la muerte se escondela vuelta de la esquina
kay tikapa chirunkunata yupay,cuenta los lados de este rectángulo
sapa hatun sasachaykuna manas sasa ch´uyanchaychu yaqa llapanqa manan cheqaqchu,cada problema complicado tiene una solución simplela mayoría de las veces es incorrecta
"kawsaywan sasachakuyqa manan ruway kanchu ,  ñawpaqtan allin cheqaqtapuni ruwana","el problema con la vida es que no hay práctica ,  tiene que tomarlo en serio la primera vez"
"macbeth ,  duncanta sipispa ,  pisita sonqon churasqanta mana kasusqachu","macbeth ,  matandoduncan ,  abusó de su confianza un poco"
sichus runa mana ayllunwan unay kan chayqa manan allin runachu kan,el hombre que no pasa tiempo con su familia nunca será un verdadero hombre
kay mirachiypa yarquyninqa ch'usaqmi,el resultado de esta multiplicación es cero
¿ pitaq tawa ñeqenpi chayaran ?,¿ quién llegó en cuarto lugar ?
rimayniyqa aswan thak runakunatan pisipachin,mi verbosidad desalienta inclusola gente más paciente escuchándome
"pacha q´oñiriyqa ,  pacha kuyuyqa llapan kawsayninchispaq manapunin allinchu kanman",los cambios climáticoslos cataclismo asociados pueden ser una amenaza potencial para la estabilidad de todas nuestras vidas
tawa k'uchukunata yupariy,cuenta los cuadrados
"manan yacharanichu pitanakunaq wañuyman apasqanta ,  sapap´unchay","no tenía idea de que los cigarrillos lo estaban acercandola muerte ,  díadía"
¿ hayk´a tawa k'uchukuna tatkiyuqtaq kay hallp´a ?,¿ cuántos metros cuadrados tiene el terreno ?
"warmikunawan manan imaynata rimayta atinichu ,  chayqa manan hayk´aqpas aylluyuq kasaqchu","no sé cómo hablar con las mujeres ,  así que nunca comenzaréuna familia"
runaqa manan hayk´aqpas kaqninwan hunt´asqachu kashan,uno nunca está satisfecho con lo que uno tiene
llaqtaq punkuntan procesión ritualqa purisqa waqaqkunaq chawpinpi maqaqkunaq ch´aqwanwan,la procesión ritual pasó la puerta de la ciudad en medio de los lamentadoreslos aullidos de los flagelantes
payqa huk simanatan onqosqa kasqa sapa p´unchay puriqtin aswanta onqoyapusqa,ella había estado enferma por una semanase sentía peor con cada día que pasaba
"pay mana munasqachu unu ukhiyayta ,  kurpun pasaqta sayk´usqa","él se negóbeber líquidos ,  causando un agotamiento extremo de su cuerpo"
alfabetización poloniapi manan kay watakunapi t´ikrakunchu,el nivel de alfabetización en polonia no ha cambiado en los últimos años
cheqaq wakcha kayqa huk runta t´ikranmanmi manataq khuyapayanmanchu wakinkunata,la verdadera pobreza puede cambiaruna personaprivarlo de compasión por otros seres
"k´uychichay p´unchayqa ,  alexa chunka urasmi puñuran mishk´illatan mikhuran","los sábados ,  alexa durmió durante diez horascomió solo dulces"
"maqanakuypi ,  mana allin kayqa ishkayninpin sasachay kashan","en disputas ,  la falla generalmente se encuentra con ambos lados del conflicto"
huk ritratuta qhawani pampapi yana qocha yawarmanta qhawakun,veo una fotografía que muestra un charco oscuro de sangre en la acera
llaqta ukhupi ashkha suwakuna kan celularkunata suwanku,en la ciudad hay muchos ladrones que roban celulares
juanpa wasinpi huk erqe sapa p´unchay waqan,en la casa de juan hay un niño que llora todo los días
llaqta ayllukuna sapa kuti rimapakunku ruwayninkumanta,las comunidades campesinas siempre estan reclamando por sus derechos
ñankunapi tiyaq runakuna chaka ukhupi puñunku sapa tuta,los indigentes duermen debajo de los puentes todas las noches
ñawsa runakuna ñanta chimpanapaqqa sasachakunkun,las personas invidentes tienen dificultad para cruzar la pista
sapa tuta kanmi runakuna tusuq lloqsinku hinaspa ch´awata ruwanku,todas las noches hay personas que salendivertirsehacen escándolos en las calles
sapa p´unchay hampina wasipi onqosqa runakuna wañunku,todos los días en el hospital hay personas enfermas que mueren
erqekunapas anchatan chhulliwan ratachikushanku,tambien los niños se estan contagiando mucho con la gripe
"runakuna mana mikhuna mikhunankupaq kanchu ,  ñanpin qolqeta mañakunku","las personas que no tienen comida para comer ,  usualmente piden dinero en la calle"
hampiqkuna ñan sayk´usqaña kanku chanin onqoqkunata hampispa,los médicos ya estan cansados de atendertantos enfermos por la pandemia
hampiq yanapaqkunaqa onqosqa machuchakunata payachakunata yanapanku mayninpi wañupunku,las enfermeras atiendenlos abuelitos muy enfermos que aveces se mueren
ashkha erqekunan kan sichus mana allinta qhawanku chayqa chinkapunkun mana hayk´aqpas tarinkuchu,hay muchos niños que sino los cuidan bien simplemente se pierdennunca lo encuentran
chiri,frío
chuchu,duro
lliklla,manta
wist´u,cojo
llant´a,leña
t´oqo,hoyo
pichinku,gorrión
ninri,oreja
poqo,maduro
ñuqñu,requesón
llulla,mentirosa
qosa,marido
kachi,sal
pisqo,jilguero
misk'i,dulce
q'ayma,desabrido
qanra,"sucio ,  muy cochino"
sumaq,bonito
ch'uya,"limpio , claro"
p'oshqo,salado
millay,feo
hatun,grande
huch´uy,pequeño
rakhu,grueso
k´ikllu,angosto
nishu,demasiado
samp'a,liviano
uma nanay,dolor de cabeza
q'oñichiy,hacer calentar
ruphachiy,hacer quemar
t'impuchiy,hacer hervir
watuy,"visitar ,  extrañar"
tapuy,preguntar
kuchuy,cortar
runkhiy,sacar cascara gruesa
phukuy,soplar
t'eqway,pelar
hank'ay,tostar
mishk'ichay,endulzar
malliy,lavar mano
teqtichiy,freír
chirichay,hacer enfriar
manan allinchu kanki,no estoy bien
qan killikachaq kanki,tú eres ingeniero
qan sumaq harawikunata qhelqanki,tú escribes hermosas poesías
anta situwa killapi rimanku,ellos hablan en el mes de julio
wallpata qhapaq raymi killapi mikhuni,como gallina en diciembre
phuyukuna teqsimuyupi qhawasqanchis wayrapi unu sut´ukunan tuytuqmi kanku,las nubes que vemos en el cielo son gotitas de agua flotando en el aire
suwaqnin runa llaqtamanta wanaqman purin,el hombre que robó camina desde el pueblo hacia la cárcel
tarpuq sara saramanta wasiman phawan,el agricultor corre desde el maizal hacia su casa
paykuna qochamanta rit'i orqokama purinku,ellos caminan desde la laguna hasta el nevado
kakanku phawan,su tío corre
ususinwan wayk´un,cocina con su hija
churinchiskuna pukllan,nuestro hijos juegan
qan mamanchiswan tiyanki,tú vives con nuestra mamá
paya wawanwan pañaman rinku,la abuelael niño van hacia la derecha
ñañaykiwan llamk´aranki,trabajaste con tu hermana
qan paqo kanki,tú eres sacerdote andino
noqa wawqeywan pukllani,yo juego con mi hermano
paykuna urayman purinku,ellos caminan hacia abajo
wawqen puñun,su hermano duerme
payanku waqan,su abuela llora
nishu karu kasqa,era bastante lejos
noqa puñusaq,yo dormiré
noqa puñusharani,estaba durmiendo
noqayku puriq kayku,nosotros solemos caminar
qasashanpunin,siempre está helando
chakraypi oqata tarpuni,en mi chacra siembro oca
chakra tarpunaykupaq raymichayku,para la siembra hacemos fiesta
peruq hatun kusi raymin,la fiesta del perú/día de la independencia
"chhullimanta ,  ch´oqhumanta hampikunapaq allin",es bueno para curarse de la gripela tos
"llaqtaypi wakata ,  khuchita ,  qowita ,  k´ankata ,  washwatawan uywanku","en mi pueblo crian vaca ,  cerdo ,  cuy ,  gallo , pato"
manan taytay takirqanchu hinaqa puñuran,mi papá no había cantado (y) así durmió
raúl riman ichaqa rodolfo takin,raúl habla pero rodolfo canta
rodolfo qochaman wichan chaymanta llaqtaman kutin,rodolfo subela laguna después/luego regresa al pueblo
mayqentaq hamusqarí,y cuál de ellos ha venido ?
mayqenpas tusuchun,que baile cualquiera
manan pipas yachayta munanchu,nadie quiere estudiar
manan mayqenpas waka kanchu,no hay ninguna vaca
"ama hina kaychu ,  apamuwanki t'antata","por favor ,  me traes pan"
llapanku tiyashanku,todos estan sentados
wakinchá kusikuranku,algunos se habrán alegrado
kunanmantaqa aman rimankichu,desde hoy no hablaras
trigomantan t'antaqa ruwakun,el pan se hace de trigo
kay washkhaqa paqpamantan,ésta soga es de magué
llaqtaykimantan hamuni,vengo de tu pueblo
noqa wakata michirani,yo pastaba la vaca
maypin rumi kashan,en donde esta la piedra
ishkay killapin yachasaq,en dos meses voyaprender
tiyuykin uywapi hamusqa,tu tío vino en caballo
chakrapi waka kashan,la vaca está en la chakra
rodolfo wasipi kashan,rodolfo está en la casa
qochapi raul waqashan,raúl está llorando en el lago
mayupi challwata hap'inchis,cogemos peces en el río
rit'ipi pukllanchis,jugamos en el nevado
orqopi purinkichis,caminan en el cerro
ñanpi wakata qatirani,arreé la vaca en el camino
pampapi p'itanchis,corremos en la pampa
t'urupi allankichis,escarban en el barro
sach´api chirimuya kashan,hay chirimoya en el árbol
yunkapi takarani,hago leña en la selva
wakaypaqmi kay q'achu,este pasto es para mi vaca
kay wasiqa pusaq pachamanta kichakun,la oficina abrelasde la mañana
manan castellanuta rimanichu,no hablo castellano
sasachaykunkin imaymana tramitikunapaq,tendrá problemas para otros trámites
awichuyqa ch'umpi kuchuyuqmi kasharqan,mi abuelo llevaba un sombrero marrón
uwihakunaqa pampapi kasharqanku,las ovejas estaban en el campo
runa simillapi rimayta munani,prefiero hablar solamente en quechua
killachay p'unchawmanta ch'askachay p´unchawkama llank'ani,trabajo desde lunes hasta viernes
qan antichay p'unchaw mikhunki,tú comes el martes
ayriway killapi pachamaman mikhuchinchis,damos de comerla pachamama en el mes de abril
ichaqa runakunaq allin kayninqa kanman kikinkuwan kusisqa kaypischá,tal vez la cosa que sea más importante para las personas es que sean felices con ellos mismos
qankuna qhari willkaykichikwan mikhunkichis,ustedes comen con su nieto
noqayku wawaykuwan takiyku,nosotros cantamos con nuestro bebé
kunchanku michin,su sobrino pastorea
wawqenchiswan rimaranchis,hablamos con nuestro hermano
paykuna lloq'e punkukama rinku,ellos van hacia la izquierda hasta la puerta
warminchis t'ikata pallanku,nuestras esposas recogen la flor
qankuna turaykichiswan asirankichis,ustedes se rieron con vuestro hermano
taytaykiwan rimarani,hablé con tu papá
hatun mamayki wayk´un,tu abuela cocina
ñawpaq runakunaqa mink'api imatapas llank'aranku,antes la gente trabajaba por compromiso de ayuda mutua
payqa lima llaqtapi tiyan,ella vive en lima
mamayki kiru hampiq,tu mamá es dentista
pachak chaki sutuma qorachaqa ashkha saphiyuqmi,la valeriana posee muchísimas raíces
pay kiru hampiq,él/ella es odontóloga
pisqukunaqa raprankunapi rakhu hatun phuruyuq,las aves llevan en las alas plumas grandesgruesas
qollpa hallp´akunapiqa kachi poqon,"en los terrenos salitrosos ,  la sal madura"
mamay kusisqa kashan,mi mamá está feliz
chaymantaña chukutaqa rantisunchis,ya después compraremos el sombrero
hatun tayta mamanchiskuna llank'anku,nuestros abuelos trabajan
"manan pipas llakikuytaqa munanchu ,  ichaqa allinta yachanchis saqenanchis kusikunapaq","a nadie le gusta tener preocupaciones ,  pero sabemos lo bien que es deshacerse de ellosrelajarse"
runakunaqa sawnanallayuqpuni puñunchis,todas las personas dormimos con almohada
yuraq siraraqa ch'aki ukhupaq hampin,el alacrán blanco es un remedio contra la tos convulsiva
pay taytaywan wasikama purin,ella camina con mi papá hasta la casa
pay qollana,él/ella es presidente
qankuna illapachay p'unchaw rimankichis,ustedes hablan el jueves
uyaytan uphakusaq,me lavaré la cara
lliwpuni puririsun,"vayamos todititos ,  sin faltar"
huk warmi takiran,canto una mujer
chunka runakuna rimanqa,diez persona hablarán
llapan qharikuna llank´ashanku,todos los varones están trabajando
payllaña purichun,él nomás ya que camine
pisillaña yaku kasqa,habia poquita agua
supayta aparpamuwan,me trajeron demasiado
ashkhata mikhurparini,comí bastante/comí harto
noqanchis p'achakusunchis,nosotros nos vestiremos
hayk'aqmi yachanki,¿ cuándo vasestudiar ?
maypi karanki,¿ dónde has estado ?
tutaraq hamusaq,vengo en la mañanita
hayk'akama yupayta yachanki,¿ hasta cuanto sabes contar ?
rit'ikama p'itani,corro hasta la nieve
qanrayku ñak'arini,sufro por ti
much'asqayrayku kusikun,se alegró por besarle
wawayrayku wayk´uni,cocino por mi bebé
sara sarapi tuparanchis,nos encontramos en el maizal
llusk'a llusk'allaña mayu,es muy rebaloso el rio
tayta mamay llaqtaman purinku,mi mamámi papá caminan hacia el pueblo
masa masa purinkichis,caminan en parejas
tusuqaypi sayk´urani,me canse en el baile
mamantin risqa,fue en compañía de su mamá
runakuna tukuy ima llank'aykunata ruwan,las personas se dedicantodo tipo de trabajo
kay kuchunata pimanpas saqemuy,dejacualquiera este cuchillo
llapanchis wayk´unchis,todos cocinamos
sapallay wasita ruwani,construyo solo mi casa
kikiy yachay wasita rini,el mismo vala escuela
mana pipas tusunchu,nadie baila
taytay manan llank'anchu,mi papá no trabaja
"hukniray asikuymi karan ,  pasaqpaq thakta qon","fue una de esas raras sonrisas ,  ofreciendo confianzatranquilidad para siempre"
amas mikhunkichu,dice que no vascomer
llaqtaypi taytacha euleteriota hatunchaspa raymichanku,en mi pueblo al abuelo eulogio lo fetejan
mana pipas kanchu,no hay nadie
killachay p'unchawpi llank'ani,trabajo el lunes
simi mikhunapaq,la boca es para comer
qanwanmi rimayta munani,quiero hablar contigo
masa turuwanmi llank'asaq,trabajaré con la yunta
masa turuwanmi llank'asaq,con el perrocon el gato juegan
takllawan masa turu yapun,con la yunta ara el toro
