qc,sp
"Yanukusun!

1. Huk mankapi timpusqa yakuyuq, ñawpaq mayllasqa kinuwata yapaykusun. 10 minutupaq yanuna. Ch’akichiy hinaspa waqaychay.
Aycha Ragu

2. Ch’uñuta, pimientatapas huch’uy kuchuman kuchuspa.

3. Huk sartenpi aceiteta ruphaykachispa 2 minututa ch’uñuta sudachina. Chaymanqa waka aycha ñut’usqata, iskay  Sabor Carne cubos, iskay cuchara  La Rojita, panca chili, pimienta, yaku ima churana. Chawpi ninapi 10 minututa yanuna, aycha tukuyta yanukunankama.
Quinotto

4. Chawpi ninapi sartenpi q’illu chilita, CREMOSITA nisqatapas churana. Chaymanqa kinuwata churaspa 5 minutu rakhuyanankama yanuna. Kachita, quesota ima churaspa, ninata wañuchispa chaqruyta tukusun.

5. Quinottota, aycha ragoutta haywarisun hinaspa tukuna queso parmesanota churaspa sumaqchanapaq.","¡A cocinar!

1.  En una olla con agua hirviendo, agregar la quinua previamente lavada. Dejar cocinar por 10 minutos. Escurrir y reservar.
Ragú de Carne

2.  Cortar la cebolla y el pimiento en cubos pequeñitos.

3.  Calentar el aceite en una sartén y sudar la cebolla por 2 minutos. Agregar la carne molida, dos cubitos  Sabor Carne, dos cucharadas de  La Rojita, el ají panca, el pimiento y el agua. Cocinar por 10 minutos a fuego medio hasta cocinar la carne por completo.
Quinotto

4.  En una sartén a fuego medio, colocar el ají amarillo y la CREMOSITA. Agregar la quinua y cocinar durante 5 minutos hasta obtener una consistencia espesa. Incorporar la sal, el queso, apagar el fuego y terminar de mezclar.

5.  Servir el quinotto, el ragú de carne y terminar colocando queso parmesano para decorar."
"Yanukusun!

1. BRASA sachet nisqataqa 45 ml utaq 4 1/2 cuchara chiri timpusqa yakuwan chulluchina. Wallpa hawaman chaypi kaqta hich’aykuspa tukuyninpi, qaranpa uranpi, hawanman ima mast’ariy.

2. Hornota 160°C nisqaman 10 minutupaq ruphaykachina.

3. Wallpataqa ukhu bandejaman churaspa 20 minututa 220°C nisqapi hornopi yanuna. Tiempo tukukuptinqa wallpata hurquspa, ñawpaq yanukusqanpi puchuq yakukunawan llapanta bañana.

4. Wallpataqa hornoman kutichispa 20 minutukunatawan 250°C nisqapi yanuna. Saqispa q’uñichiy.
Lentejas

5. Huk mankapi lentejakunata churaspa yakuwan tapaykusun, iskay dedowan lenteja patamanta. Ñawpaqtaqa timpuchispa ch’allaspa yapamanta yakuwan qataspa yanuyta tukusun.

6. Lentejas yanukuchkaptin, ch’uñuta, ajota ima, juch’uy kuchuman kuchuspa. Chay aderezota ruwanapaqqa, sartenpi pisi ninapi, ch’uñuta q’illuyachina, llamp’u q’illuyanankama, chaymantataq ajota yapaykusun, chaymantataq condimentota allichay.

7. Lentejakuna llamp’uña kaptinqa, aderezota yapaykusun, hinaspa saborninta allichay.

8. Tukuyninpiqa 1/2 taza arrozwan, salsa criollawan ima haywarina. Chaypaqqa julianapi ch’uñuta, q’illu chilitapas cubospi, coriandrota ima ancha sumaqllata kuchuspa, limón jugowan, 2 cuchara aceite de olivawan chaqruspa, servinapaq wakichisqaña.

9.  Naturísimo nisqataqa yapawaqmi chay salsata timpuchinaykipaq.","¡A cocinar!

1.  Disolver el sobre de  BRASA, con 45 ml o 4 1/2 cucharadas de agua fría hervida. Vaciar el contenido sobre el pollo y untarlo por completo, por debajo y encima de la piel.

2.  Precalentar el horno a 160°C durante 10 minutos.

3.  Colocar el pollo en una bandeja honda y llevar al horno por 20 minutos a 220 °C. Una vez cumplido el tiempo, retirar el pollo y bañarlo por completo con los líquidos que ha dejado durante su primera cocción.

4.  Regresar el pollo al horno y cocinar por 20 minutos adicionales a 250°C. Retirar y entibiar.
Lentejas

5.  En una olla, colocar las lentejas y cubrirlas con agua, dos dedos arriba sobre nivel de lentejas. Dar un primer hervor y colarlas, volver a cubrirlas con agua y terminar de cocinarlas.

6.  Mientras se cocinan las lentejas, picamos en cubos pequeños la cebolla y los ajos. Para realizar el aderezo, en una sartén a fuego lento, dorar la cebolla hasta que tome un color marrón claro, agregamos el ajo y rectificamos la sazón.

7.  Una vez que las lentejas estén tiernas, agregamos el aderezo y rectificamos sabor.

8.  Finalmente servir con 1/2 taza de arroz y salsa criolla. Para ello picar la cebolla en juliana, el ají amarillo en cubitos y el culantro muy fino, lo mezclamos con el jugo de limón, 2 cucharadas de aceite de oliva y listo para servir.

9.  Puedes agregar  Naturísimo para aderezar la salsa."
"Chapusqa

1. Levadurata, asukartapas 1/4 vaso q’uñi yakupi ch’akichina. 10 minutu sayachina. Huk mankapi hak’uta churaspa pisi pisimanta samasqa levadurata, puchuq yakutapas yapaykusun. Chaymanqa aceitunas aceiteta, kachita churaspa, k’aspi cucharawan yanapachikuspa chaqruyta tukusun, chaqruspa astawan llasaq sientekunankama. Kaypiqa makiykiwan imapas kaqkunata hukllawayta tukusun, huk bolaman masaspa samachina, (masata ch’akichiqwan tapaspa), 20 minutupaq q’uñi pachapi.

2. Samasqaña masata 4man rakispa, kaqlla sayayniyuq bolakunata ruwana. Sapakamata makiykiwan llañuyachiy pizzapa sikin ruwanankama, chaymanta hak’uyuq basepi 15 minutu q’uñi pachapi samachiy.
Ketchup

3. Ch’uñuta hatun kuchuman kuchuspa, tomatepa waqtankunata mana muhuyuqta kuchuna. Huk mankapi huk cuchara aceiteta ruphaykachispa cebolla sudananpaq saqiy, iskay cuchara  La Rojita, 1/2 vaso yakuta, tomate phatmakunata ima churana. Huk 5 minututapas yanuna. Ruphaymanta hurquspa wakichisqata chaqruna. Q’uñichiy.
Toppings nisqakuna

. Mozarella quesota rallay. Llapan toppings nisqakunataqa mankakunapi churay.

5. Sapa pizza baseta huk horno bandejaman churay. Sapa pizzapa sikintaqa tomate salsawanmi tapay, chaymantataq mozarella quesowan. Sapakamapi toppings nisqakunata mana akllaspa rakiy.

6. Pizzakunataqa 170° nisqapi 12 15 minutukama hornopi churana, kantunkuna llampu quriyuq kanankama. Aypuy.","Masa

1.  Diluir la levadura y el azúcar en un 1/4 de taza de agua tibia. Dejar reposar por 10 minutos. Colocar la harina en un bowl e ir agregando de a pocos la levadura reposada y el resto del agua. Agregar el aceite de oliva, la sal y terminar de mezclar con ayuda de una cuchara de palo hasta que se sienta cada vez más pesado al mezclar. En este punto, terminar de unir los ingredientes con las manos, amasar formando una bola y dejarla reposar, (cubriendo la masa con un secador), por un periodo de 20 minutos en un ambiente cálido.

2.  Una vez reposada, dividir la masa en 4 y formar bolas de igual tamaño. Estirar con las manos cada una de ellas, hasta formar la base de la pizza, luego sobre una base enharinada dejarlas reposar en un ambiente cálido durante 15 minutos .
Salsa de Tomate

3.  Cortar la cebolla en cubos grandes y las paredes de los tomates sin las pepas. En una olla, calentar una cucharada de aceite y dejar sudar la cebolla, agregar dos cucharadas de  La Rojita, 1/2 taza de agua y los trozos de tomate. Cocinar por 5 minutos más. Retirar del fuego y licuar la preparación. Dejar enfriar.
Toppings

4.  Cortar el pimiento en tiras delgadas, los champiñones en láminas, el jamón en cuadrados, las aceitunas en rodajas y la cebolla en pluma delgada. Rallar el queso Mozarella. Disponer todos los toppings en bowls.

5.  Colocar cada base de pizza sobre una bandeja para horno. Cubrir la base de cada pizza con la salsa de tomate y posteriormente con el queso mozarella. Distribuir los toppings aleatoriamente en cada una.

6.  Llevar las pizzas al horno a 170° de 12 a 15 minutos hasta que los bordes estén ligeramente dorados. Servir."
"1. Hornota 200° nisqaman ñawpaqta ruphaykachina

2. Coctel papata huk mankapi churaspa yakuwan tapaykusun. Chawpi ninapi 15 minutu yanuna. Colar y reservar.

3. Papa chiriruptinqa, kuskanman kuchuna. Huk mankapi papata puchuq imawan chaqruna.

4. Wakichisqata huk mankapi churaspa 20 minututa hornopi yanuna. (Mana hornoyuq kaspaqa sartenpi preparacionta saltachwan)

5. Hurnupi pacha pasaruptinqa, haywarina.","
1.  Pre calentar el horno a 200°

2.  En una olla colocar las papas cóctel y cubrirlas con agua. Cocinar a fuego medio por 15 minutos. Colar y reservar.

3.  Una vez frias la papas, cortarlas por la mitad. En un bowl mezclar las papas con el resto de ingredientes.

4.  Colocar la preparación en una fuente y llevar al horno por 20 minutos. (Si no contamos con horno podemos saltear la preparación en un sartén)

5.  Una vez pasado el tiempo en el horno, servir."
"1. Pastataqa timpusqa yaku mankaman yapaspa 10 minutu yanuna. Ch’akichiy hinaspa waqaychay.
Boloniamanta ruwasqa salsa

2. Salsapaqqa tomatepa puntankunata kuchuspa muhunta hurquspa pulpata saqispa. Apio, zanahoria, cebolla ima uchuy kuchuman kuchuy.

3. Huk mankapi aceiteta churaspa ch’uñuta rawrachina. Chaymanqa tomate phatmasqa, zanahoria, apio ima churana. 5 minutu pisi ninapi yanuna. Chaymanqa huk  MEAT CUBO nisqatapas iskay cuchara  LA ROJITA nisqatapas yapaykusun.

4. Chay kikin mankallapitaq ñut’u aychata yapaykusun, chaymantataq kuskan vaso vinota yapaykusun. 2 minutu suyay llapa alcohol ch’akinankama, chaymantataq kuskan vaso unuta yapaykusun. 30 minutu pisi ninapi yanuna, sapa kuti kuyurichispa.

5. Fideokunataqa salsawan kuska haywarina. Chaymanqa parmesano quesota churaspa albahaca raphiwan sumaqchay.","
1.  Hervir la pasta agregándola a una olla con agua hirviendo y cocinar por 10 minutos. Escurrir y reservar.
Salsa Bolognesa

2.  Para la salsa cortar los extremos de los tomates retirando las pepas y dejando la pulpa. Cortar el apio, la zanahoria y la cebolla en cubos pequeños.

3.  En una olla, agregar el aceite y freír la cebolla. Agregar los tomates, la zanahoria y el apio picados. Cocinar por 5 minutos a fuego lento. Agregar un CUBO  CARNE y dos cucharadas de  LA ROJITA.

4.  En la misma olla, agregar la carne molida e incorporar media taza de Vino. Esperar por 2 minutos hasta que se haya evaporado todo el alcohol y agregar media taza de agua. Cocinar a fuego lento por 30 minutos moviendo constantemente.

5.  Servir los fideos con la salsa. Agregar el queso parmesano y decorar con una hoja de albahaca."
"1. Ruphay aceiteyuq mankapi, ch’uñu kuchusqata, ajota, chilita ima, iskay kimsa minutupaq q’illuyachina. Ñawpaqta sazonasqa ñut’u waka aychata yapaspa aychata yanuna.

. 5 minutupaq yanuna.

3. Aslla maqasqa uhuta pisi pisimanta sopaman yapay, sumaqllata kuyurichispa. Tukuyninpiqa 1/2 taza  LIGHT nisqawan ch’akisqa orégano nisqawan yapaykusun. Huk kutitawan kuyurichispa, condimentota allichay hinaspa serviy.","1.  En una olla con aceite caliente, dorar la cebolla cortada en cubos, el ajo y el ají por unos minutos. Incorporar la carne molida, previamente sazonada, y cocinar la carne.

2.  Agregar las tazas de agua, romper hervor, adicionar el sobre de  SOPA DE RES CON FIDEOS junto con los fideos cabello de ángel y bajar el fuego a nivel medio. Cocinar por 5 minutos.

3.  Incorporar el huevo ligeramente batido lentamente a la sopa, moviendo suavemente. Finalmente agregar 1/2 taza de  LIGHT y el orégano seco. Mover una vez más, rectificar sazón y servir."
"1. Ch’uñuta, aychatapas huch’uy kuchuman kuchuspa. Papata qaranmanta hurquspa 4 phatmaman kuchuspa.

2. Huk mankapi aceiteta ruphaykachispa 2 minutupaq ch’uñuta rawrachina. Chaymanqa 1/2 sobre  LA ROJITA nisqatapas yapaykusun, hinaspataq pisi ninapi 2 minutotawan rawrachina.

3. 1  Aycha Sabor cubo, chay cubo aychata yapay hinaspa 5 minutu sudor. 4 vaso unuta churaspa 20 minutu timpuchina.

4. Angelpa chukchanta, q’illu papa phatmakunatawan yapaykusun. Huk 5 minututapas yanuna. Hukmanta hukmanta uhukunata mankaman yapaspa 5 minututawan ancha pisi ninapi yanuna.

5. Mankata ninamanta hurquspa, 1/4 vaso  nisqawan yapaykusun

6. CREMOSITA hinaspa ch’aki orégano. Aypuy.","1.  Cortar la cebolla y la carne en cubos pequeños. Pelar y cortar las papas en 4 pedazos.

2.  Calentar el aceite en una olla y freír la cebolla por 2 minutos. Agregar 1/2 sobre de  LA ROJITA y freír a fuego lento por 2 minutos más.

3.  Agregar 1 cubo  Sabor Carne, la carne en cubos y sudar por 5 minutos. Agregar 4 tazas de agua y hervir por 20 minutos.

4.  Incorporar el cabello de ángel y los trozos de papa amarilla. Cocinar por 5 minutos más. Agregar los huevos uno por uno a la olla y cocinar 5 minutos más a fuego muy bajo.

5.  Retirar la olla del calor, agregar 1/4 de taza de 

6.   CREMOSITA y el orégano seco. Servir."
"Yuraq salsa

1. Huk mankapi mantequillata chulluspa hak’uwan chaqruspa pastaman tukunankama. Huk vaso  CREMOSITA nisqawan yapaykusun, chaqruspa llampuyanankama yanuna.

2. Zanahoriataqa huch’uy kutukunaman kuchuspa, habasta huch’uy k’aspikunaman, pimentutataq kuchuman. Arvejakunata qaranmanta hurquy.

3. Zanahoriakunata, guisantekunata, habastakunata ima timpusqa yaku mankaman yapaspa timpuchina. Chaykunataqa 8 minutupaq yanuna.

4. Huk mankapi yuraq salsata yanusqa pastawan, uhuwan, guisantewan, zanahoriawan, habaswan, pimentuwan ima chaqruna. Huk t’anta ruwanapaq p’uyñuman churay, hukllata mast’arispa. Queso parmesanowan qataykusun.

5. 25 minutupaq hornoman churana.","Salsa Blanca

1.  En una olla, derretir la mantequilla y mezclarla con la harina hasta formar una pasta. Agregar una taza de  CREMOSITA, mezclar y cocinar hasta tomar punto.

2.  Cortar la zanahoria en cubos pequeños, las vainitas en bastones pequeños y el pimiento en cubos. Pelar las arvejas.

3.  Hervir la zanahoria, las arvejas y las vainitas agregándolas a una olla con agua hirviendo. Cocinarlas por 8 minutos.

4.  En un bowl, mezclar la salsa blanca con la pasta cocida, los huevos, las arvejas, la zanahoria, las vainitas y el pimiento. Colocar en una fuente de horno, extendiendo de forma pareja. Cubrir con queso parmesano.

5.  Llevar al horno por 25 minutos."
"Cría

1. Kuskan sachet  POLLAD nisqa 3 cuchara utaq 30 ml yakuwan chulluchiy, chay chaqrusqata wallpaman mastariy (qara urapipas). 1 horallapas marinananpaq saqiy

2. Alto ladoyuq sartenpi utaq mankapi aceiteta ruphaykachispa hukmanta hukmanta marinado wallpa t’aqakunata yapaykusun. Aswan utqaylla yanunapaqqa sapa wallpatam kuskanman kuchuspa 5 minututa yanuna.
Pallares

3. Yakuyuq mankapi, manaraq wakichichkaspa, tutan pallarukunata ch’akichina. Paqaristinmi pallares nisqakunata ch’akichiyku, qaranta horqospa reservayku.

. Ñawpaq tuta maqchisqa pallares nisqakunata, 3 vaso unuta ima yapaykusun. Chawpi ninapi 60 minutu yanuna, pallares tukuyninpi yanukunankama, chaymantataq maqchiy.
Criollo sacha

5. Ch’uñuta juliana llimp’ikunaman, q’illu chilitataq kubokunaman, coriandrotataq ancha sumaqllata kuchuspa. Sazonarpaqqa limón jugota, aceite de oliva nisqawan  Naturísimo nisqawanmi chaqruwaq.

6. Tukuchanapaqtaq, polloda nisqawan, pallar nisqawan ima, 1/2 taza arrozwan, criollo sach’awan ima, haywarina.","Pollada

1.  Disolver medio sobre de  POLLADA con 3 cucharadas o 30 ml de agua, untar la mezcla en el pollo (incluyendo por debajo de la piel). Dejar marinar por 1 hora mínimo

2.  En una sartén de paredes altas u olla, calentar el aceite e introducir las piezas de pollo marinadas una por una. Para una cocción más rápida, realizar un corte por la mitad en cada pieza de pollo y cocinar por 5 minutos.
Pallares

3.  En una olla con agua, dejar remojando los pallares la noche anterior a su preparación. Al día siguiente escurrimos los pallares, los pelamos y reservamos.

4.  En una olla, calentar una cucharada de aceite y agregar la cebolla cortada en cubos pequeños, el ajo y freír hasta dorar. Incorporar los pallares remojados desde la noche anterior y 3 tazas de agua. Cocinar a fuego medio por 60 minutos, hasta cocinar los pallares por completo, para luego batirlos.
Zarza Criolla

5.  Picar la cebolla en juliana, el ají amarillo en cubitos y el culantro muy fino. Para sazonar puedes mezclar el jugo de limón, el aceite de oliva y  Naturísimo.

6.  Finalmente servir la pollada y el pallar acompañados de 1/2 taza de arroz y zarza criolla."
"1. Wallpa filetekunataqa verdura aceitewan timpuchispa sellay. Suyachiy.

2. Chay kikin sartenpi aceitunas aceiteta ruphaykachina. Chaymanqa ch’uñuta, ajota chaymantataq  Chicken Cube nisqatapas churana.

3. Chaymanqa pimentukunata, chaymantataq yuraq vinota yapaykusun. Yaqa 5 minututa yanuna, vino kuskan pisiyanankama. Tukuy imata chaqruspa pimiento salsata tarinapaq.

4. Huk sartenpi pisi ninapi, pimentu salsata, wallpatapas yanukunankama churana. Chaykamataq calabacín, berenjena, hongos, tomillo ima q’uñichina. Wallpataqa salteado verdurakunawan arrozwan ima haywarina.","
1.  Condimentar y sellar los filetes de pollo con el aceite vegetal. Reservar.

2.  En la misma sartén, calentar el aceite de oliva. Agregar la cebolla, ajo y luego el Cubo de Gallina .

3.  Incorporar los pimientos y luego el vino blanco. Cocinar por unos 5 minutos hasta que el vino se reduzca hasta la mitad. Llevar todo a licuar para obtener la salsa de pimiento.

4.  En otra sartén a fuego lento, agregar la salsa de pimiento y el pollo hasta que cocine. Saltear por otra parte el zucchini, la berenjena, los champiñones y el tomillo. Servir el pollo con las verduras salteadas y arroz."
"1. 1/2 sachet BRASA nisqawan 25 ml utaq 2 1/2 cuchara chiri timpusqa yakuwan chaqruna. Chaypi kaqtaqa ñawpaq fileteyuq mana qarayuq wallpa chuchuman hich’aykuspa iskaynin ladonman mast’ariy.

2. Hornota 160°C nisqaman 10 minutupaq ruphaykachina.

3. Wallpataqa ukhu bandejaman churaspa 220°C nisqapi 30 minututa hornopi yanuna. Tiempo tukukuptinqa wallpata hurquspa yanunapaq yakukunawan llapanta bañana.

4. Ruphay mankapi aceiteta, achiota chaymanta ñut’usqa ajota churana, suyayku q’illuyananpaq hinaspa 1 1/2 vaso unuta churana. Yaku timpuptinqa arrozta, sarata, zanahoriata, guisanteta ima churana, hinaspa pisi ninapi 15 minutu yanuna.

5. Wallpa filete parrillaman churasqata, primavera arrozwan kuska haywayku","1.  Mezclar 1/2 sobre de  BRASA, con 25 ml o 2 1/2 cucharadas de de agua fría hervida. Vaciar el contenido sobre la pechuga de pollo sin piel previamente fileteada y untarlo por ambas caras.

2.  Precalentar el horno a 160°C durante 10 minutos.

3.  Colocar el pollo en una bandeja honda y llevar al horno por 30 minutos a 220 °C. Una vez cumplido el tiempo, retirar el pollo y bañarlo por completo con los líquidos que ha dejado la cocción.

4.  En una olla caliente, agregar el aceite, el achiote y luego el ajo molido, esperamos a que este se dore y agregamos 1 1/2 taza de agua. Cuando el agua rompa en hervor echamos el arroz, el choclo, la zanahoria y la arverjita, cocinamos a fuego bajo por 15 minutos.

5.  Servimos el filete de pollo a la brasa acompañado del arroz primavera"
"Papata mayllana, mankaman churaspa yakuta yapaykusun kuskan qatanankama. Chawpi ninapi 20 minutukunata yanuna, 15 minutumantataq papakunapa hatun kayninman hina yanukuyninta qawaspa.

Papa yanusqaña kaptinqa ancha allintam qaranta hurqunchik hinaspam papa masachiqninta pasanchik, chaytam iskay kutita yapamanta ruwanchik, chaynapi aswan sumaq hinaspa aswan sumaq chaqrusqa kananpaq.

Papa ñit’isqaña kaptinqa, q’illu chili pasta, mayonesa,  Naturísimo, verdura aceite, limón jugo, allinta chaqruspa huk laduman churay.

Rupha yakuyuq mankapi wallpa ñuñuta 20 minutupaq, uhutataq 8 minutupaq kikin mankapi yanunchik, uhuta, wallpata, q’uñinanpaq saqispa, wallpa ñut’uta phatmaspa uhuta qaranta hurqunchik.

 Huk mankapi wallpa phatmasqa mayonesawan  Naturísimowan chaqruna. Aguacateta phatmakunapi kuchuspa, pimientataq huch’uy cuadradokunaman, uhukunata phatmakunaman otaq ralladoman kuchuspa huk laduman churana.


 Huñuna causata churaspa papa baseta churaspa, chaymanta huk aguacate baseta phatmakunapi kuchusqa, wallpa rakhusqa, huk capa papawan tapayku hinaspa sumaqchayku pimientokuna picadowan chaymanta uhu ralladowan hinaspa listoña servinapaq."," Lavar las papas, colocarlas en una olla y agregar agua hasta cubrirlas por la mitad. Cocinar por 20 minutos a fuego medio y revisando a partir de los 15 minutos la cocción de las papas según su tamaño.

Una vez que las papas han cocinado, las pelamos con mucho cuidado y los pasamos por el prensador de papas, repetimos dos veces ese paso para obtener una mezcla mas lisa y fina.

Una vez que las papas estén prensadas, agregar, el ají amarillo en pasta, mayonesa,  Naturísimo, aceite vegetal, zumo de limón, mezclamos bien y reservamos.

En una olla con agua caliente cocinamos la pechuga de pollo por 20 minutos y los huevos por 8 minutos en la misma olla, retiramos los huevos, el pollo, dejamos enfriar para luego desmenuzar el pollo y pelar los huevos.

 En un tazón mezclar el pollo desmenuzado con la mayonesa y  Naturísimo. Cortar la palta en laminas, el pimiento en cuadraditos, los huevos en laminas o rallado y reservamos.


 Armar la causa colocando una base de papa, luego una de palta cortada en láminas, el pollo desmenuzado, cubrimos con otra capa de papa y decoramos con los pimientos picados y el huevo rayado y esta lista para servir."
"1. Aychata uchuy kuchuman kuchuy. Q’illu papata qaranmanta hurquspa 8 kaqllaman kuchuspa. Chay ch’uñutaqa huch’uy kuchukunaman kuchuspa.

2. Huk mankapi wirata ruphaykachispa ch’uñuta rawrachina. Chaymanqa ajota, panca chilita, Meat Flavor cubota, waka aychata ima churana. 5 minutupaq yanuna.

3. Chaymanqa olluco phatmasqata, 2 vaso unuta ima churana. Chawpi ninapi 10 minutu yanuna.

4. Papa kuchusqata churaspa 5 minututawan yanuna.

5. Olluco nisqataqa huk vaso arrozwan kuska haywarina. Perejil raphikuna phatmasqawan sumaqchay.","1.  Cortar la carne en cubos pequeños. Pelar la papa amarilla y cortarlas en 8 pedazos iguales. Cortar la cebolla en cubitos pequeños.

2.  Calentar el aceite en una olla y freír la cebolla. Agregar el ajo, el ají panca, un cubo  Sabor Carne y la carne de res. Cocinar por 5 minutos.

3.  Agregar el olluco picado y 2 tazas de agua. Cocinar a fuego medio por 10 minutos.

4.  Agregar la papa cortada en trozos y cocinar por 5 minutos más.

5.  Servir el olluco acompañado de una taza de arroz. Decorar con las hojas de perejil cortado."
"1. Ch’uñuta, zanahoriatapas qaranmanta hurquspa huch’uy kuchuman, papatapas hatun kuchuman kuchuspa. Waka aychata hatun kutuman kuchuy.

2. Huk sartenpi aceiteta ruphaykachispa ch’uñuta yapaykusun, 5 minututa sudananpaq saqiy. Chaymanqa ajota, panca chilita,  Meat Flavor cubo nisqatapas churana.

3. Aycha kuchukunata, papata, 2 vaso unuta ima churana. 30 minutupaq yanuna. Tukuyninpiqa zanahoriata, guisantesta ima churaspa 5 minututawan yanuyta tukusun. Mankata ninamanta hurquy.

4. Chay q’apayniyuq aychata haywarina, kuskan vaso arrozwan kuska.","1.  Pelar y cortar la cebolla y la zanahoria en cubos pequeños y las papas en cubos grandes. Cortar la carne de res en cubos grandes.

2.  En una sartén, calentar el aceite y agregar la cebolla, dejar sudar por 5 minutos. Incorporar el ajo, el ají panca y un cubo  Sabor Carne.

3.  Incorporar los cubos de carne, papa y 2 tazas de agua. Cocinar por 30 minutos. Finalmente, agregar la zanahoria, las alverjas y terminar de cocinar por 5 minutos más. Retirar la olla del calor.

4.  Servir el picante de carne, acompañado de media taza de arroz."
"Coriandro

1. Cilantro nisqataqa pisi yakuwan chaqruna, necesario kaqtinqa, pasta nisqa tarinaykikama. Suyachiy.
Purutukuna

2. Ñawpaq tuta habasta ch’akichiy. Huk mankapi 1 cuchara aceiteta ruphaykachispa 1 cucharadita ajota, 1/2 cebolla plumaman kuchusqata rawrachina. Chaymanqa ch’akisqa habaskunata churaspa 30 minutukunata chawpi ninapi yanuna, cremoso hina kanankama.

3. Ch’uñuta kuchuman kuchuspa, zanahoriata phatmaman, aychatataq phatmaman kuchuspa.

4. Huk mankapi wirata ruphaykachispa aychata ruphachina, llapan quriyuq kanankama. Suchuy.

5. Chaymanqa ch’uñuta churaspa 2 minututa rawrachina. Chaymanqa ajota, panca chilita, coriandro pastata,  Meat Flavor cubo nisqatapas yapaykusun hinaspa 5 minutotawan rawrachina.

6. Aycha kuchukunata, 2 vaso unuta, chicha de joratawan kutichiy. 30 minutupaq yanuna. Chaymanqa zanahoriata yapaykusun, hinaspa 5 minututawan yanuna.

7. Waka aycha jerky nisqataqa 1/2 vaso habaswan, 1/2 vaso yuraq arrozwan kuska haywarina.","Culantro

1.  Licuar el culantro con un poco de agua si fuese necesario hasta obtener una pasta. Reservar.
Frejoles

2.  Remojar los frejoles desde la noche anterior. Calentar 1 cucharada de aceite en una olla, freír 1 cucharadita de ajo y 1/2 cebolla cortada en plumas. Agregar los frejoles remojados y cocinar durante 30 minutos a fuego medio, hasta obtener una consistencia cremosa.

3.  Cortar la cebolla en cubitos, la zanahoria en rodajas y la carne en trozos.

4.  Calentar el aceite en una olla y sellar la carne hasta que esté dorada por completo. Retirar.

5.  Agregar la cebolla y freír durante 2 minutos. Agregar el ajo, el ají panca, la pasta de culantro, un cubo  Sabor Carne y freír durante 5 minutos más.

6.  Regresar los trozos de carne, 2 tazas de agua y la chicha de jora. Cocinar durante 30 minutos. Agregar la zanahoria y cocinar por 5 minutos más.

7.  Servir el seco de res acompañado de 1/2 taza de frejoles y 1/2 taza de arroz blanco."
"Coriandro

1. Cilantro nisqataqa pisi yakuwan chaqruna, necesario kaqtinqa, pasta nisqa tarinaykikama. Suyachiy.

2. Ch’uñuta kuchuman kuchuspa. Yuraq papata tawaman kuchuna, zanahoriatataq phatmaman kuchuspa.

3. Huk mankapi wirata ruphaykachispa wallpataqa ruphachina, llapanta quriyuq kanankama. Suchuy.

4. Chaymanqa ch’uñuta churaspa 2 minututa rawk’ana. Chaymanqa ajota, q’illu chilita, coriandro pastata,  Sabor Gallina cubo nisqatapas churaspa 5 minututawan rawrachina.

5. Papata, wallpa kuchukunata, 2 vaso unuta ima churana. 15 minutupaq yanuna.

6. Zanahoriata, guisantesta ima churaspa 5 minutu yanuyta tukusun.

7. Ch’aki wallpataqa huk vaso yanusqa arrozwan kuska haywarina.","Culantro

1.  Licuar el culantro con un poco de agua si fuese necesario hasta obtener una pasta. Reservar.

2.  Cortar la cebolla en cubitos. Cortar las papas blancas en cuartos y la zanahoria en rodajas.

3.  Calentar el aceite en una olla y sellar el pollo hasta que esté dorado por completo. Retirar.

4.  Agregar la cebolla y freír durante 2 minutos. Agregar el ajo, el ají amarillo, la pasta de culantro, un cubo  Sabor Gallina y freír durante 5 minutos más.

5.  Agregar las papas, las presas de pollo y 2 tazas de agua. Cocinar durante 15 minutos.

6.  Incorporar la zanahoria, las arverjas y terminar de cocinar durante 5 minutos.

7.  Servir el seco de pollo acompañado de una taza de arroz cocido."
"1. Pimientataqa kuchuspa pisi yakuwan chaqruna. Chay ch’uñuta huch’uy kuchuman kuchuspa huk mankapi rawrachina. Chaymanqa chaqrusqa pimientota,  Cubo Gallinata, wallpa kuchusqatapas cubos nisqaman churana.

2. Chaymantaqa, trigota, laurel raphita, yakuta ima yapaykusun, chayta tapanapaq. 25 minutu yanuna.

3. Chaykamaqa zanahoriata, calabazatawan cubosman kuchuspa. Trigo yanuna pacha tukukuptinqa, verdurakunata, 1/4 vaso  CREMOSITA nisqawan ima yapaykusun. Huk 5 minututapas yanuna.
NUTRICIONALMANTA WILLAY","1.  Cortar el pimiento en trozos y licuar con un poco de agua. Cortar la cebolla en cubos pequeños y freír en una olla. Agregar el pimiento licuado,  Cubo Gallina y el pollo cortada en cubos.

2.  Luego, agregar el trigo, la hoja de laurel y la cantidad de agua necesaria hasta cubrirlo. Dejar cocinar por 25 minutos.

3.  Mientras tanto, cortar la zanahoria y el zapallo en cubitos. Una vez cumplido el tiempo de cocción del trigo, agregar las verduras y 1/4 taza de  CREMOSITA. Cocinar por 5 minutos más.
INFORMACIÓN NUTRICIONAL"
